Art_ID,Viz_Num,Graph_Type,Points,Lines,Bar_Col,Box,Hist_Dens,Tiles,Geo_Map,X_Axis,Y_Axis,Color_Fill,Size,Shape,Alpha,Interactive,Motion,Scroll,Perc_Num,Task1,Task2
56,9,7,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
56,10,7,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,,,
57,1,7,1,0,0,0,0,0,0,1,1,1,0,0,0,,,,,,
58,1,5,1,1,0,0,0,0,1,1,1,1,1,1,,,,,,,
58,2,5,1,0,0,0,0,,1,1,1,,,,,,,,,,
58,3,5,1,1,0,0,0,,1,1,1,,,,,,,,,,
58,4,5,1,1,0,0,0,,1,1,1,,,,,,,,,,
58,5,5,1,1,0,0,0,,1,1,1,,,,,,,,,,
58,6,5,1,1,0,0,0,,1,1,1,,,,,,,,,,
58,7,5,1,1,0,0,0,,1,1,1,,,,,,,,,,
58,8,5,1,1,0,0,0,,1,1,1,,,,,,,,,,
58,9,5,1,1,0,0,0,,1,1,1,,,,,,,,,,
58,10,5,1,1,0,0,0,,1,1,1,,,,,,,,,,
58,11,5,1,1,0,0,0,,1,1,1,,,,,,,,,,
58,12,5,1,1,0,0,0,,1,1,1,,,,,,,,,,
58,13,5,0,0,0,0,0,1,1,1,1,1,,,,,,,,,
58,14,5,1,1,0,0,0,,1,1,1,,,,,,,,,,
59,1,2,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,0,,,
59,2,5,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,,,
59,3,5,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,,,
59,4,5,,,,,,,,,,,,,,,,,,,
60,1,3,0,0,1,0,1?,0,0,1,1,1,0,0,0,1,1,0,,,
61,1,5,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,,,
61,2,,,,,,,,,,,,,,,,,,,,
61,3,5,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,,,
61,4,4,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,,,
61,5,,,,,,,,,,,,,,,,,,,,
61,6,4,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,,,
61,7,barbell,,,,,,,,,,,,,,,,,,,
62,1,3,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
62,2,2,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,,,
63,1,,,,,,,,,,,,,,,,,,,,
63,2,,,,,,,,,,,,,,,,,,,,
63,3,,,,,,,,,,,,,,,,,,,,
64,1,5,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,,,
64,2,4,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
64,3,3,0,0,1,0,1,,1,1,1,1,0,0,0,0,0,0,,,
64,4,tile,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,,
64,5,tile,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,,,
64,6,tile,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,,,
64,7,tile,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,,,
64,8,tile,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,,
64,9,5,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,,,
64,10,5,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,,,
65,1,4,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
65,2,4,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
66,1,,,,,,,,,,,,,,,,,,,,
67,1,4,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,,,
68,1,4,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,,,
68,2,,,,,,,,,,,,,,,,,,,,
68,3,4,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
68,4,5,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,,,
69,1,barbell,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
70,1,3,0,0,1,0,0,1,0,,,1,0,0,0,0,0,0,,,
70,2,3,0,0,1,0,0,1,0,,,1,0,0,0,0,0,0,,,
70,3,3,0,0,1,0,0,1,0,,,1,0,0,0,0,0,0,,,
70,4,3,0,0,1,0,0,1,0,,,1,0,0,0,0,0,0,,,
70,5,3,0,0,1,0,0,1,0,,,1,0,0,0,0,0,0,,,
70,6,3,0,0,1,0,0,1,0,,,1,0,0,0,0,0,0,,,
70,7,arrows?,,,,,,,,,,,,,,,,,,,
70,8,3,0,0,1,0,0,1,0,,,1,0,0,0,0,0,0,,,
70,9,arrows?,,,,,,,,,,,,,,,,,,,
71,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
71,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
71,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
,,,,,,,,,,,,,,,,,,,,,
72,1,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,,
72,2,7,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
72,3,3,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,,,
73,,,,,,,,,,,,,,,,,,,,,
